"Deferred Expense","المصاريف الآجلة"
"Auto Insert Item Price If Missing","إدراج سعر الصنف تلقائيًا في حال عدم وجوده"
"Auto Material Request","طلب مواد تلقائي"
"Auto Name","تسمية تلقائية"
"Auto Opt In (For all customers)","الاشتراك التلقائي (لجميع العملاء)"
"Auto re-order","إعادة طلب تلقائية"
"Auto Reconcile Payments","تسوية الدفعات تلقائيًا"
"Auto Reconciliation Job Trigger","مشغل مهمة التسوية التلقائية"
"Auto Repeat Detail","تفاصيل التكرار التلقائي"
"Auto Reply","رد تلقائي"
"Auto Reply Message","رسالة الرد التلقائي"
"Auto Reserve Serial and Batch Nos","حجز الأرقام التسلسلية الباتشات تلقائيًا"
"Auto Reserve Stock for Sales Order on Purchase","حجز المخزون تلقائيًا لأمر البيع عند الشراء"
"Automatically Add Filtered Item To Cart","إضافة الصنف المفلتر إلى السلة تلقائيًا"
"Automatically Add Taxes and Charges from Item Tax Template","إضافة الضرائب والرسوم تلقائيًا من قالب ضريبة الصنف"
"Automatically Create New Batch","إنشاء باتش جديد تلقائيًا"
"Automatically delete account within (hours)","حذف الحساب تلقائيًا خلال (ساعات)"
"Automatically Fetch Payment Terms from Order","جلب شروط السداد تلقائيًا من الأمر"
"Automatically post balancing accounting entry","ترحيل قيد التسوية المحاسبي تلقائيًا"
"Automatically Process Deferred Accounting Entry","معالجة قيد المحاسبة المؤجل تلقائيًا"
"Availability Of Slots","توفر الفترات الزمنية"
"Available Batch Qty at From Warehouse","كمية الباتش المتاح في المستودع المصدر"
"Available Batch Qty at Warehouse","كمية الباتش المتاح في المستودع"
"Available Qty","الكمية المتاحة"
"Available Qty at Company","الكمية المتاحة في الشركة"
"Available Qty at Source Warehouse","الكمية المتاحة في المستودع المرسل"
"Available Qty at Target Warehouse","الكمية المتاحة في المستودع المستقبل"
"Available Qty at Warehouse","الكمية المتاحة في المستودع"
"Available Qty at WIP Warehouse","الكمية المتاحة في مستودع تحت التشغيل"
"Available Qty For Consumption","الكمية المتاحة للاستهلاك"
"Available Qty to Reserve","الكمية المتاحة للحجز"
"Available Quantity","الكمية المتاحة"
"Available-for-use Date","تاريخ الجاهزية للاستخدام"
"Avatar","الصورة الرمزية"
"Average Response Time","متوسط زمن الاستجابة"
"Avg Rate","متوسط السعر"
"Awaiting Password","في انتظار كلمة المرور"
"AWB Number","رقم بوليصة الشحن الجوي"
"Backflush Raw Materials Based On","صرف المواد الخام بأثر رجعي بناءً على"
"Backflush Raw Materials From Work-in-Progress Warehouse","صرف المواد الخام بأثر رجعي من مستودع تحت التشغيل"
"Backflush Raw Materials of Subcontract Based On","صرف المواد الخام بأثر رجعي للتعاقد من الباطن بناءً على"
"Background Color","لون الخلفية"
"Background Image","صورة الخلفية"
"Background Jobs","مهام الخلفية"
"Background Jobs Check","فحص مهام الخلفية"
"Background Jobs Queue","طابور مهام الخلفية"
"Background Workers","منفذو مهام الخلفية"
"Backup Details","تفاصيل النسخ الاحتياطي"
"Backup Files","ملفات النسخ الاحتياطي"
"Backup Folder ID","رمز مجلد النسخ الاحتياطي"
"Backup Folder Name","اسم مجلد النسخ الاحتياطي"
"Backup Frequency","تكرار النسخ الاحتياطي"
"Backups","النسخ الاحتياطية"
"Backups (MB)","النسخ الاحتياطية (ميجابايت)"
"Balance In Account Currency","الرصيد بعملة الحساب"
"Balance In Base Currency","الرصيد بالعملة الأساسية"
"Balance must be","يجب أن يكون الرصيد"
"Balance Sheet","الميزانية العمومية"
"Balance Sheet Summary","ملخص الميزانية العمومية"
"Balance Stock Value","قيمة رصيد المخزون"
"Bank / Cash Account","حساب البنك / الصندوق"
"Bank A/C No.","رقم الحساب البنكي"
"Bank Account Details","تفاصيل الحساب البنكي"
"Bank Account Info","معلومات الحساب البنكي"
"Bank Account No","رقم الحساب البنكي"
"Bank Balance","الرصيد البنكي"
"Bank Charges","الرسوم البنكية"
"Bank Charges Account","حساب الرسوم البنكية"
"Bank Credit Balance","الرصيد الدائن للبنك"
"Bank Details","تفاصيل البنك"
"Bank Guarantee Number","رقم الضمان البنكي"
"Bank Guarantee Type","نوع الضمان البنكي"
"Bank Name","اسم البنك"
"Bank Transaction Mapping","مطابقة الحركات البنكية"
"Bank/Cash Account","حساب البنك/الصندوق"
"Banking","الأعمال المصرفية"
"Banner","لافتة إعلانية"
"Banner HTML","لافتة إعلانية HTML"
"Banner Image","صورة اللافتة الإعلانية"
"Barcode","الباركود"
"Barcode Type","نوع الباركود"
"Barcodes","الباركود"
"Base Amount","المبلغ الأساسي"
"Base Amount (Company Currency)","المبلغ الأساسي (بعملة الشركة)"
"Base Change Amount (Company Currency)","مبلغ الفكة الأساسي (بعملة الشركة)"
"Base Cost Per Unit","التكلفة الأساسية للوحدة"
"Base Distinguished Name (DN)","الاسم المميز الأساسي (DN)"
"Base Hour Rate(Company Currency)","معدل الساعة الأساسي (بعملة الشركة)"
"Base Rate","السعر الأساسي"
"Base Tax Withholding Net Total","صافي إجمالي الضريبة المحتجزة الأساسي"
"Base Total Billable Amount","إجمالي المبلغ الأساسي القابل للفوترة"
"Base Total Billed Amount","إجمالي المبلغ الأساسي المفوتر"
"Base Total Costing Amount","إجمالي مبلغ التكلفة الأساسي"
"Base URL","الرابط الأساسي"
"Based On","بناءً على"
"Based On Payment Terms","بناءً على شروط السداد"
"Based on Permissions For User","بناءً على صلاحيات المستخدم"
"Based On Value","بناءً على القيمة"
"Basic Amount","المبلغ الأساسي"
"Basic Amount (Company Currency)","المبلغ الأساسي (بعملة الشركة)"
"Basic Info","معلومات أساسية"
"Basic Rate (as per Stock UOM)","السعر الأساسي (حسب وحدة قياس المخزون)"
"Basic Rate (Company Currency)","السعر الأساسي (بعملة الشركة)"
"Batch and Serial No","الباتش والرقم التسلسلي"
"Batch Description","وصف الباتش"
"Batch Details","تفاصيل الباتش"
"Batch ID","رمز الباتش"
"Batch No","رقم الباتش"
"Batch No.","رقم الباتش"
"Batch Number Series","تسلسل أرقام الباتشات"
"Batch Quantity","كمية الباتش"
"Batch Size","حجم الباتش"
"Batch UOM","وحدة قياس الباتش"
"BCC","نسخة مخفية"
"Before reconciliation","قبل التسوية"
"Begin On (Days)","يبدأ في (أيام)"
"Beta","تجريبي"
"Bill Date","تاريخ الفاتورة"
"Bill for Rejected Quantity in Purchase Invoice","فوترة الكمية المرفوضة في فاتورة المشتريات"
"Bill No","رقم الفاتورة"
"Billed Amount","المبلغ المفوتر"
"Billed Amt","المبلغ المفوتر"
"Billed, Received & Returned","مفوتر، مستلم ومرجع"
"Billing Address","عنوان الفوترة"
"Billing Address Details","تفاصيل عنوان الفوترة"
"Billing Address Name","اسم عنوان الفوترة"
"Billing Amount","مبلغ الفوترة"
"Billing City","مدينة الفوترة"
"Billing Country","دولة الفوترة"
"Billing County","مقاطعة الفوترة"
"Billing Currency","عملة الفوترة"
"Billing Details","تفاصيل الفوترة"
"Billing Email","بريد الفوترة"
"Billing Hours","ساعات الفوترة"
"Billing Interval","الفاصل الزمني للفوترة"
"Billing Interval Count","عدد فواصل الفوترة"
"Billing Rate","معدل الفوترة"
"Billing State","ولاية الفوترة"
"Billing Status","حالة الفوترة"
"Billing Zipcode","الرمز البريدي للفوترة"
"BIN Qty","كمية الموقع التخزيني"
"Binary Logging","التسجيل الثنائي"
"Bio","نبذة تعريفية"
"Bio / Cover Letter","نبذة تعريفية / خطاب تعريفي"
"Birth Date","تاريخ الميلاد"
"Bisecting From","تقسيم من"
"Bisecting To","تقسيم إلى"
"Blanket Order Allowance (%)","سماحية أمر التوريد المفتوح (%)"
"Blanket Order Rate","سعر أمر التوريد المفتوح"
"Block Modules","حظر الوحدات"
"Block Supplier","حظر المورّد"
"Blocked","محظور"
"Blog Intro","مقدمة المدونة"
"Blog Introduction","مقدمة المدونة"
"Blog Subscriber","مشترك في المدونة"
"Blog Title","عنوان المدونة"
"Blood Group","فصيلة الدم"
"Body","المحتوى"
"Body and Closing Text Help","مساعدة لنص المحتوى والخاتمة"
"Body Text","نص المحتوى"
"Bold","عريض"
"BOM and Production","قائمة المواد والإنتاج"
"BOM Created","أُنشئت قائمة المواد"
"BOM Creator Item","صنف منشئ قائمة المواد"
"BOM Detail No","رقم تفصيل قائمة المواد"
"BOM Info","معلومات قائمة المواد"
"BOM No","رقم قائمة المواد"
"BOM Operation","عملية قائمة المواد"
"BOM Tree","شجرة قائمة المواد"
"BOMs Updated","قوائم المواد المحدثة"
"Book Advance Payments in Separate Party Account","قيد الدفعات المقدمة في حساب طرف منفصل"
"Book Asset Depreciation Entry Automatically","قيد إهلاك الأصل تلقائيًا"
"Book Deferred Entries Based On","قيد الحركات المؤجلة بناءً على"
"Book Deferred Entries Via Journal Entry","قيد الحركات المؤجلة عبر قيد يومية"
"Book Tax Loss on Early Payment Discount","قيد خسارة ضريبية عند خصم السداد المبكر"
"Booked Fixed Asset","الأصل الثابت المقيد"
"Branch Code","رمز الفرع"
"Brand Defaults","الإعدادات الافتراضية للعلامة التجارية"
"Brand HTML","العلامة التجارية HTML"
"Brand Image","صورة العلامة التجارية"
"Brand Logo","شعار العلامة التجارية"
"Brand Name","اسم العلامة التجارية"
"Breadcrumbs","مسار التنقل"
"Browse by category","تصفح حسب الفئة"
"Browser","المتصفح"
"Browser Version","إصدار المتصفح"
"Brute Force Security","أمان هجمات القوة الغاشمة"
"Bucket Name","اسم الحاوية"
"Budget Accounts","حسابات الموازنة"
"Budget Against","الموازنة مقابل"
"Budget Amount","مبلغ الموازنة"
"Budget Detail","تفاصيل الموازنة"
"Bufferpool Size","حجم الذاكرة المؤقتة"
"Bulk Actions","إجراءات جماعية"
"Bundle Items","الأصناف المجمَّعة"
"Button Gradients","تدرجات الأزرار"
"Button Rounded Corners","حواف الأزرار الدائرية"
"Button Shadows","ظلال الأزرار"
"Buying","المشتريات"
"Buying & Selling Settings","إعدادات المشتريات والمبيعات"
"Buying and Selling","المشتريات والمبيعات"
"Bypass Credit Limit Check at Sales Order","تجاوز التحقق من حد الائتمان في أمر البيع"
"Bypass Restricted IP Address Check If Two Factor Auth Enabled","تجاوز التحقق من IP المقيد في حال تمكين المصادقة الثنائية"
"Bypass Two Factor Auth for users who login from restricted IP Address","تجاوز المصادقة الثنائية للمستخدمين من IP مقيد"
"Cache","الذاكرة المؤقتة"
"Calculate Based On","حساب بناءً على"
"Calculate daily depreciation using total days in depreciation period","حساب الإهلاك اليومي باستخدام إجمالي أيام فترة الإهلاك"
"Calculate Depreciation","حساب الإهلاك"
"Calculate Estimated Arrival Times","حساب أوقات الوصول المقدرة"
"Calculate Product Bundle Price based on Child Items' Rates","حساب سعر حزمة المنتج بناءً على أسعار الأصناف التابعة"
"Calculations","العمليات الحسابية"
"Calendar Event","حدث التقويم"
"Calendar Name","اسم التقويم"
"Call Details","تفاصيل المكالمة"
"Call Handling Schedule","جدول معالجة المكالمات"
"Call Received By","المكالمة مستلمة بواسطة"
"Call Receiving Device","جهاز استقبال المكالمات"
"Call Routing","توجيه المكالمات"
"Call Summary","ملخص المكالمة"
"Call to Action","دعوة لاتخاذ إجراء"
"Call To Action URL","رابط الدعوة لاتخاذ إجراء"
"Call Type","نوع المكالمة"
"Callback Message","رسالة معاودة الاتصال"
"Callback Title","عنوان معاودة الاتصال"
"Campaign Description (Optional)","وصف الحملة (اختياري)"
"Campaign Name","اسم الحملة"
"Campaign Naming By","تسمية الحملة حسب"
"Campaign Schedules","جداول الحملة"
"Cancel","إلغاء"
"Cancel At End Of Period","إلغاء في نهاية الفترة"
"Cancel Subscription After Grace Period","إلغاء الاشتراك بعد فترة السماح"
"Cancelation Date","تاريخ الإلغاء"
"Canonical URI","الرمز الأساسي (URI)"
"Capacity","الطاقة الاستيعابية"
"Capacity in Stock UOM","الطاقة الاستيعابية بوحدة قياس المخزون"
"Capacity Planning","تخطيط الطاقة الاستيعابية"
"Capacity Planning For (Days)","تخطيط الطاقة الاستيعابية لـ (أيام)"
"Capital Work In Progress Account","حساب المشاريع الرأسمالية تحت التنفيذ"
"Capitalization Method","طريقة الرسملة"
"Capitalize Repair Cost","رسملة تكلفة الإصلاح"
"Card","بطاقة"
"Cards","البطاقات"
"Carrier","شركة النقل"
"Carrier Service","خدمة النقل"
"Carry Forward Communication and Comments","ترحيل المراسلات والتعليقات"
"Cash/Bank Account","حساب الصندوق/البنك"
"Cashier","أمين الصندوق"
"Catch All","التقاط الكل"
"Categorize By","تصنيف حسب"
"Category","الفئة"
"Category Description","وصف الفئة"
"Category Details","تفاصيل الفئة"
"Category Name","اسم الفئة"
"CC","نسخة إلى"
"CC To","نسخة إلى"
"Cellphone Number","رقم الجوال"
"CEO","الرئيس التنفيذي"
"Certificate","الشهادة"
"Certificate Details","تفاصيل الشهادة"
"Certificate Limit","حد الشهادة"
"Certificate No","رقم الشهادة"
"Certificate Required","الشهادة مطلوبة"
"CFO","المدير المالي"
"Chaining Hash","التجزئة المتسلسلة"
"Change Amount","مبلغ الفكة"
"Change in Stock Value","التغير في قيمة المخزون"
"Change Label (via Custom Translation)","تغيير التسمية (عبر الترجمة المخصصة)"
"Change Password","تغيير كلمة المرور"
"Changes","التغييرات"
"Channel","القناة"
"Charges Incurred","الرسوم المتكبدة"
"Chart","مخطط بياني"
"Chart Configuration","تكوين المخطط البياني"
"Chart Name","اسم المخطط البياني"
"Chart Of Accounts","شجرة الحسابات"
"Chart Of Accounts Template","قالب شجرة الحسابات"
"Chart Options","خيارات المخطط البياني"
"Chart Preview","معاينة المخطط البياني"
"Chart Source","مصدر المخطط البياني"
"Chart Tree","شجرة المخطط البياني"
"Chart Type","نوع المخطط البياني"
"Charts","المخططات البيانية"
"Chassis No","رقم الهيكل"
"Check in (group)","تسجيل وصول (مجموعة)"
"Check Supplier Invoice Number Uniqueness","التحقق من تفرد رقم فاتورة المورّد"
"Checked On","تم التحقق بتاريخ"
"Checksum Version","إصدار المجموع الاختباري"
"Cheque Date","تاريخ الشيك"
"Cheque Height","ارتفاع الشيك"
"Cheque Number","رقم الشيك"
"Cheque Size","حجم الشيك"
"Cheque Width","عرض الشيك"
"Cheque/Reference Date","تاريخ الشيك/المرجع"
"Cheque/Reference No","رقم الشيك/المرجع"
"Child Docname","اسم المستند التابع"
"Child Doctype","نوع المستند التابع"
"Child Row Reference","مرجع الصف التابع"
"City","المدينة"
"City/Town","المدينة/البلدة"
"Class / Percentage","الفئة / النسبة"
"Clauses and Conditions","البنود والشروط"
"Clear Logs After (days)","مسح السجلات بعد (أيام)"
"Clear Notifications","مسح الإشعارات"
"Clear Table","مسح الجدول"
"Clearance Date","تاريخ التخليص"
"Client","العميل"
"Client Code","رمز العميل"
"Client Credentials","بيانات اعتماد العميل"
"Client Id","رمز العميل"
"Client Information","معلومات العميل"
"Client Secret","المفتاح السري للعميل"
"Client URLs","روابط العميل"
"Close Condition","شرط الإغلاق"
"Close Issue After Days","إغلاق المشكلة بعد (أيام)"
"Close Replied Opportunity After Days","إغلاق الفرصة التي تم الرد عليها بعد (أيام)"
"Closed","مغلق"
"Closed Documents","المستندات المغلقة"
"Closing","الإقفال"
"Closing Account Head","الحساب الرئيسي للإقفال"
"Closing Amount","مبلغ الإقفال"
"Closing Balance","الرصيد الختامي"
"Closing Date","تاريخ الإقفال"
"Closing Text","النص الختامي"
"CMD","أمر"
"Code","الرمز"
"Code Challenge","تحدي الرمز"
"Code challenge method","طريقة تحدي الرمز"
"Collapsible","قابل للطي"
"Collapsible Depends On","قابلية الطي تعتمد على"
"Collapsible Depends On (JS)","قابلية الطي تعتمد على (JS)"
"Collect Progress","جمع التقدم"
"Collection Factor (=1 LP)","عامل التحصيل (=1 نقطة ولاء)"
"Collection Rules","قواعد التحصيل"
"Collection Tier","فئة التحصيل"
"Column","العمود"
"Column in Bank File","العمود في ملف البنك"
"Column Name","اسم العمود"
"Columns","الأعمدة"
"Columns / Fields","الأعمدة / الحقول"
"Comment By","عُلِّق بواسطة"
"Comment Email","بريد التعليق"
"Comment limit","حد التعليقات"
"Comment Type","نوع التعليق"
"Comments","التعليقات"
"Commission","العمولة"
"Commission Rate","معدل العمولة"
"Commission Rate (%)","معدل العمولة (%)"
"Commit","تنفيذ"
"Committed","منفَّذ"
"Communication Channel","قناة التواصل"
"Communication Medium Type","نوع وسيط التواصل"
"Communication Type","نوع التواصل"
"Companies","الشركات"
"Company Account","حساب الشركة"
"Company Address","عنوان الشركة"
"Company Address Display","عرض عنوان الشركة"
"Company Address Name","اسم عنوان الشركة"
"Company Bank Account","الحساب البنكي للشركة"
"Company Billing Address","عنوان الفوترة للشركة"
"Company Contact Person","مسؤول الاتصال بالشركة"
"Company Description","وصف الشركة"
"Company Details","تفاصيل الشركة"
"Company Email","بريد الشركة"
"Company Introduction","مقدمة عن الشركة"
"Company Logo","شعار الشركة"
"Company Name","اسم الشركة"
"Company Shipping Address","عنوان الشحن للشركة"
"Company Tax ID","الرقم الضريبي للشركة"
"Competitor Name","اسم المنافس"
"Competitors","المنافسون"
"Completed","مكتمل"
"Completed By","أُكمل بواسطة"
"Completed By Role","أُكمل بواسطة الدور"
"Completed By User","أُكمل بواسطة المستخدم"
"Completed On","أُكمل بتاريخ"
"Completed Qty","الكمية المكتملة"
"Completed Time","الوقت المكتمل"
"Completion By","الإكمال بواسطة"
"Completion Date","تاريخ الإكمال"
"Completion Status","حالة الإكمال"
"Comprehensive Insurance","تأمين شامل"
"Condition","الشرط"
"Condition description","وصف الشرط"
"Condition JSON","شرط JSON"
"Conditional Rule","قاعدة شرطية"
"Conditional Rule Examples","أمثلة على القواعد الشرطية"
"Conditions","الشروط"
"Configuration","التهيئة"
"Confirmation Date","تاريخ التأكيد"
"Confirmation Email Template","قالب بريد التأكيد"
"Connected User","المستخدم المتصل"
"Connections","الاتصالات"
"Consider Entire Party Ledger Amount","الأخذ بكامل رصيد حساب الطرف"
"Consider Minimum Order Qty","الأخذ بالحد الأدنى لكمية الطلب"
"Consider Rejected Warehouses","الأخذ بالمستودعات المرفوضة"
"Consider Tax or Charge for","احتساب الضريبة أو الرسم لـ"
"Considered In Paid Amount","محسوب ضمن المبلغ المدفوع"
"Console","وحدة التحكم"
"Consolidate Sales Order Items","دمج بنود أوامر البيع"
"Consolidate Sub Assembly Items","دمج بنود الأصناف المجمعة فرعيًا"
"Consolidated Credit Note","إشعار دائن موحد"
"Consolidated Sales Invoice","فاتورة مبيعات موحدة"
"Constraints","القيود"
"Consumable Cost","تكلفة المواد المستهلكة"
"Consumed Asset Total Value","إجمالي قيمة الأصول المستهلكة"
"Consumed Assets","الأصول المستهلكة"
"Consumed Items","الأصناف المستهلكة"
"Consumed Qty","الكمية المستهلكة"
"Consumed Quantity","الكمية المستهلكة"
"Consumed Stock Items","أصناف المخزون المستهلكة"
"Consumed Stock Total Value","إجمالي قيمة المخزون المستهلك"
"Contact Desc","وصف جهة الاتصال"
"Contact Details","تفاصيل الاتصال"
"Contact Email","بريد جهة الاتصال"
"Contact HTML","جهة الاتصال HTML"
"Contact Info","معلومات الاتصال"
"Contact Information","معلومات الاتصال"
"Contact List","قائمة جهات الاتصال"
"Contact Mobile","جوال جهة الاتصال"
"Contact Mobile No","رقم جوال جهة الاتصال"
"Contact Name","اسم جهة الاتصال"
"Contact No.","رقم الاتصال"
"Contact Numbers","أرقام الاتصال"
"Contact Person","مسؤول الاتصال"
"Contacts","جهات الاتصال"
"Content","المحتوى"
"Content (HTML)","المحتوى (HTML)"
"Content (Markdown)","المحتوى (Markdown)"
"Content Hash","تجزئة المحتوى"
"Content Type","نوع المحتوى"
"Context","السياق"
"Context Script","سكريبت السياق"
"Contract Details","تفاصيل العقد"
"Contract End Date","تاريخ انتهاء العقد"
"Contract Period","فترة العقد"
"Contract Template Help","مساعدة قالب العقد"
"Contract Terms","شروط العقد"
"Contract Terms and Conditions","بنود وشروط العقد"
"Contributed","ساهم"
"Contribution (%)","المساهمة (%)"
"Contribution Document Name","اسم مستند المساهمة"
"Contribution Status","حالة المساهمة"
"Contribution to Net Total","المساهمة في صافي الإجمالي"
"Control Action","إجراء التحكم"
"Control Historical Stock Transactions","التحكم في حركات المخزون التاريخية"
"Conversion Factor","معامل التحويل"
"Conversion Rate","سعر التحويل"
"Convert Item Description to Clean HTML in Transactions","تحويل وصف الصنف إلى HTML نظيف في الحركات"
"Copied From","مستنسخ من"
"Copy Fields to Variant","نسخ الحقول إلى المتغير"
"Copyright","حقوق النشر"
"Corrective Action","إجراء تصحيحي"
"Corrective Operation","عملية تصحيحية"
"Corrective Operation Cost","تكلفة العملية التصحيحية"
"Corrective/Preventive","تصحيحي/وقائي"
"Cost","التكلفة"
"Cost Center Allocation Percentages","نسب توزيع مركز التكلفة"
"Cost Center Name","اسم مركز التكلفة"
"Cost Center Number","رقم مركز التكلفة"
"Cost Configuration","تهيئة التكاليف"
"Cost Per Unit","تكلفة الوحدة"
"Cost to Company (CTC)","التكلفة الإجمالية للموظف"
"Costing","احتساب التكاليف"
"Costing Amount","مبلغ التكلفة"
"Costing and Billing","التكاليف والفوترة"
"Costing Details","تفاصيل التكاليف"
"Costing Rate","معدل التكلفة"
"Count","العدد"
"Count Filter","فلتر العدد"
"Counter","العداد"
"Country Name","اسم الدولة"
"Country of Origin","بلد المنشأ"
"County","المقاطعة"
"Coupon Code Based","مبني على رمز القسيمة"
"Coupon Description","وصف القسيمة"
"Coupon Name","اسم القسيمة"
"Coupon Type","نوع القسيمة"
"cProfile Output","مخرجات cProfile"
"Create","إنشاء"
"Create Chart Of Accounts Based On","إنشاء شجرة الحسابات بناءً على"
"Create Contacts from Incoming Emails","إنشاء جهات اتصال من رسائل البريد الواردة"
"Create Grouped Asset","إنشاء أصل مجمع"
"Create in Draft Status","إنشاء بحالة "مسودة""
"Create Job Card based on Batch Size","إنشاء بطاقة عمل بناءً على حجم الباتش"
"Create Ledger Entries for Change Amount","إنشاء قيود أستاذ لمبلغ الفكة"
"Create Log","إنشاء سجل"
"Create Missing Party","إنشاء طرف غير موجود"
"Create Receiver List","إنشاء قائمة المستلمين"
"Create User","إنشاء مستخدم"
"Create User Permission","إنشاء صلاحية مستخدم"
"Created At","أُنشيء بتاريخ"
"Creation Document No","رقم مستند الإنشاء"
"Credit","دائن"
"Credit Amount","المبلغ الدائن"
"Credit Amount in Account Currency","المبلغ الدائن بعملة الحساب"
"Credit Amount in Transaction Currency","المبلغ الدائن بعملة الحركة"
"Credit Days","أيام الائتمان"
"Credit in Company Currency","دائن بعملة الشركة"
"Credit Limit","حد الائتمان"
"Credit Limit and Payment Terms","حد الائتمان وشروط السداد"
"Credit Limit Settings","إعدادات حد الائتمان"
"Credit Limits","حدود الائتمان"
"Credit Months","أشهر الائتمان"
"Credit Note","إشعار دائن"
"Credit To","دائن لحساب"
"Criteria","المعايير"
"Criteria Formula","صيغة المعايير"
"Criteria Name","اسم المعيار"
"Criteria Setup","إعداد المعايير"
"Criteria Weight","وزن المعيار"
"Cron Format","صيغة Cron"
"CSS","CSS"
"CSS Class","فئة CSS"
"CTA Label","تسمية الدعوة لاتخاذ إجراء"
"CTA URL","رابط الدعوة لاتخاذ إجراء"
"Cumulative Transaction Threshold","حد الحركات التراكمي"
"Currency and Price List","العملة وقائمة الأسعار"
"Currency Name","اسم العملة"
"Currency Precision","دقة العملة"
"Current Address","العنوان الحالي"
"Current Address Is","العنوان الحالي هو"
"Current Amount","المبلغ الحالي"
"Current Asset Value","قيمة الأصل الحالية"
"Current BOM","قائمة المواد الحالية"
"Current Exchange Rate","سعر الصرف الحالي"
"Current Index","الفهرس الحالي"
"Current Invoice End Date","تاريخ انتهاء الفاتورة الحالي"
"Current Invoice Start Date","تاريخ بدء الفاتورة الحالي"
"Current Job ID","رمز المهمة الحالي"
"Current Level","المستوى الحالي"
"Current Node","العقدة الحالية"
"Current Qty","الكمية الحالية"
"Current Serial / Batch Bundle","حزمة الرقم التسلسلي / الباتش الحالي"
"Current Serial No","الرقم التسلسلي الحالي"
"Current State","الحالة الحالية"
"Current Stock","المخزون الحالي"
"Current Time","الوقت الحالي"
"Current Valuation Rate","معدل التقييم الحالي"
"Current Value","القيمة الحالية"
"Custodian","أمين العهدة"
"Custody","العهدة"
"Custom","مخصص"
"Custom Base URL","رابط أساسي مخصص"
"Custom Block Name","اسم الكتلة المخصصة"
"Custom Blocks","الكتل المخصصة"
"Custom Configuration","تهيئة مخصصة"
"Custom CSS","CSS مخصص"
"Custom delimiters","محددات مخصصة"
"Custom Document Types (Select Permission)","أنواع مستندات مخصصة (صلاحية التحديد)"
"Custom Footer","تذييل مخصص"
"Custom Format","تنسيق مخصص"
"Custom Group Search","بحث مجموعة مخصص"
"Custom HTML","HTML مخصص"
"Custom HTML Help","مساعدة HTML المخصصة"
"Custom Label","تسمية مخصصة"
"Custom Menu Items","عناصر قائمة مخصصة"
"Custom Options","خيارات مخصصة"
"Custom Overrides","تجاوزات مخصصة"
"Custom Remarks","ملاحظات مخصصة"
"Custom SCSS","SCSS مخصص"
"Custom Sidebar Menu","قائمة جانبية مخصصة"
"Custom?","مخصص؟"
"Customer ","العميل"
"Customer / Item / Item Group","العميل / الصنف / مجموعة الأصناف"
"Customer / Lead Address","عنوان العميل / العميل المحتمل"
"Customer Address","عنوان العميل"
"Customer Code","رمز العميل"
"Customer Contact","جهة اتصال العميل"
"Customer Contact Email","بريد جهة اتصال العميل"
"Customer Defaults","الإعدادات الافتراضية للعميل"
"Customer Details","تفاصيل العميل"
"Customer Feedback","تقييم العميل"
"Customer Group Name","اسم مجموعة العملاء"
"Customer Groups","مجموعات العملاء"
"Customer Items","أصناف العميل"
"Customer Mobile No","رقم جوال العميل"
"Customer Name","اسم العميل"
"Customer Naming By","تسمية العميل حسب"
"Customer or Item","العميل أو الصنف"
"Customer PO Details","تفاصيل أمر شراء العميل"
"Customer Portal Users","مستخدمو بوابة العملاء"
"Customer POS id","رمز العميل في نقاط البيع"
"Customer Primary Address","العنوان الأساسي للعميل"
"Customer Primary Contact","جهة الاتصال الأساسية للعميل"
"Customer Territory","منطقة العميل"
"Customer Type","نوع العميل"
"Customer Warehouse (Optional)","مستودع العميل (اختياري)"
"Customer's Item Code","رمز الصنف لدى العميل"
"Customer's Purchase Order","أمر شراء العميل"
"Customer's Purchase Order Date","تاريخ أمر شراء العميل"
"Customer's Purchase Order No","رقم أمر شراء العميل"
"Customers","العملاء"
"Customization","التخصيص"
"Daily Time to send","الوقت اليومي للإرسال"
"Dark Color","لون داكن"
"Dashboard Name","اسم لوحة المعلومات"
"Dashboards","لوحات المعلومات"
"Data","البيانات"
"Data Fetch Method","طريقة جلب البيانات"
"Data Import Configuration","تهيئة استيراد البيانات"
"Database","قاعدة البيانات"
"Database Engine","محرك قاعدة البيانات"
"Database Processes","عمليات قاعدة البيانات"
"Database Version","إصدار قاعدة البيانات"
"Date","التاريخ"
"Date and Number Format","تنسيق التاريخ والأرقام"
"Date Format","تنسيق التاريخ"
"Date of Birth","تاريخ الميلاد"
"Date of Commencement","تاريخ البدء"
"Date of Establishment","تاريخ التأسيس"
"Date of Incorporation","تاريخ التأسيس"
"Date of Issue","تاريخ الإصدار"
"Date of Joining","تاريخ الالتحاق"
"Date Of Retirement","تاريخ التقاعد"
"Date Settings","إعدادات التاريخ"
"Dates","التواريخ"
"Day","اليوم"
"Day of Week","يوم الأسبوع"
"Day to Send","يوم الإرسال"
"Days Before or After","أيام قبل أو بعد"
"Days Until Due","الأيام المتبقية للاستحقاق"
"Deal Owner","مالك الصفقة"
"Debit","مدين"
"Debit Amount","المبلغ المدين"
"Debit Amount in Account Currency","المبلغ المدين بعملة الحساب"
"Debit Amount in Transaction Currency","المبلغ المدين بعملة الحركة"
"Debit in Company Currency","مدين بعملة الشركة"
"Debit to","مدين لحساب"
"Debit-Credit mismatch","عدم تطابق المدين والدائن"
